Match ID,Date,Venue,Team1,Team2,Toss winner,Toss decision,Stage,First innings score,First innings wicket,Second innings score,Second innings wicket,Match winner,Won by,Margin,Player of the match,
652,13-04-2018,M. Chinnaswamy Stadium,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,Group,155,10,159,6,Royal Challengers Bangalore,Wickets,4,Umesh Yadav,
653,14-04-2018,Wankhede Stadium,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,Field,Group,194,7,195,3,Delhi Daredevils,Wickets,7,Jason Roy,
654,14-04-2018,Eden Gardens,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,Field,Group,138,8,139,5,Sunrisers Hyderabad,Wickets,5,Billy Stanlake,
655,15-04-2018,M. Chinnaswamy Stadium,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,Group,217,4,198,6,Rajasthan Royals,Runs,19,Sanju Samson,
656,15-04-2018,Punjab Cricket Association Stadium,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,Field,Group,197,7,193,5,Kings XI Punjab,Runs,4,Chris Gayle,
657,16-04-2018,Eden Gardens,Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,Field,Group,200,9,129,10,Kolkata Knight Riders,Runs,71,Nitish Rana,
658,17-04-2018,Wankhede Stadium,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,Group,213,6,167,8,Mumbai Indians,Runs,46,Rohit Sharma,
659,18-04-2018,Sawai Mansingh Stadium,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,Field,Group,160,8,163,3,Kolkata Knight Riders,Wickets,7,Nitish Rana,
660,19-04-2018,Punjab Cricket Association Stadium,Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab,Bat,Group,193,3,178,4,Kings XI Punjab,Runs,15,Chris Gayle,
661,20-04-2018,Maharashtra Cricket Association Stadium,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,Field,Group,204,5,140,10,Chennai Super Kings,Runs,64,Shane Watson,
662,21-04-2018,Eden Gardens,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,Field,Group,191,7,126,1,Kings XI Punjab,Wickets,9,K. L. Rahul,
663,21-04-2018,M. Chinnaswamy Stadium,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,Group,174,5,176,4,Royal Challengers Bangalore,Wickets,6,AB de Villiers,
664,22-04-2018,Rajiv Gandhi International Cricket Stadium,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,Field,Group,182,3,178,6,Chennai Super Kings,Runs,4,Ambati Rayudu,
665,22-04-2018,Sawai Mansingh Stadium,Mumbai Indians,Rajasthan Royals,Mumbai Indians,Bat,Group,167,7,168,7,Rajasthan Royals,Wickets,3,Jofra Archer,
666,23-04-2018,Feroz Shah Kotla,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,Field,Group,143,8,139,8,Kings XI Punjab,Runs,4,Ankit Rajpoot,
667,24-04-2018,Wankhede Stadium,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,Field,Group,118,10,87,10,Sunrisers Hyderabad,Runs,31,Rashid Khan,
668,25-04-2018,M. Chinnaswamy Stadium,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,Field,Group,205,8,207,5,Chennai Super Kings,Wickets,5,Mahendra Singh Dhoni,
669,26-04-2018,Rajiv Gandhi International Cricket Stadium,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,Field,Group,132,6,119,10,Sunrisers Hyderabad,Runs,13,Ankit Rajpoot,
670,27-04-2018,Feroz Shah Kotla,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,Field,Group,219,4,164,9,Delhi Daredevils,Runs,55,Shreyas Iyer,
671,28-04-2018,Maharashtra Cricket Association Stadium,Chennai Super Kings,Mumbai Indians,Mumbai Indians,Field,Group,169,5,170,2,Mumbai Indians,Wickets,8,Rohit Sharma,
672,29-04-2018,Sawai Mansingh Stadium,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,Bat,Group,151,7,140,6,Sunrisers Hyderabad,Runs,11,Kane Williamson,
673,29-04-2018,M. Chinnaswamy Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,Field,Group,175,4,176,4,Kolkata Knight Riders,Wickets,6,Chris Lynn,
674,30-04-2018,Maharashtra Cricket Association Stadium,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,Field,Group,211,4,198,5,Chennai Super Kings,Runs,13,Shane Watson,
675,1/5/2018,M. Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,Field,Group,167,7,153,7,Royal Challengers Bangalore,Runs,14,Tim Southee,
676,2/5/2018,Feroz Shah Kotla,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,Field,Group,196,6,146,5,Delhi Daredevils,Runs,4,Rishabh Pant,
677,3/5/2018,Eden Gardens,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,Field,Group,177,5,180,4,Kolkata Knight Riders,Wickets,6,Sunil Narine,
678,4/5/2018,Holkar Cricket Stadium,Kings XI Punjab,Mumbai Indians,Mumbai Indians,Field,Group,174,6,176,4,Mumbai Indians,Wickets,6,Suryakumar Yadav,
679,5/5/2018,Maharashtra Cricket Association Stadium,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,Field,Group,127,9,128,4,Chennai Super Kings,Wickets,6,Ravindra Jadeja,
680,5/5/2018,Rajiv Gandhi International Cricket Stadium,Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,Bat,Group,163,5,164,3,Sunrisers Hyderabad,Wickets,7,Rashid Khan,
681,6/5/2018,Wankhede Stadium,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,Field,Group,181,4,168,6,Mumbai Indians,Runs,13,Hardik Pandya,
682,6/5/2018,Holkar Cricket Stadium,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,Field,Group,152,9,155,4,Kings XI Punjab,Wickets,6,Mujeeb Ur Rahman,
683,7/5/2018,Rajiv Gandhi International Cricket Stadium,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,Group,146,10,141,6,Sunrisers Hyderabad,Runs,5,Kane Williamson,
684,8/5/2018,Sawai Mansingh Stadium,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,Bat,Group,158,8,143,7,Rajasthan Royals,Runs,15,Jos Buttler,
685,9/5/2018,Eden Gardens,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,Field,Group,210,6,108,10,Mumbai Indians,Runs,102,Ishan Kishan,
686,10/5/2018,Feroz Shah Kotla,Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,Bat,Group,187,5,191,1,Sunrisers Hyderabad,Wickets,9,Shikhar Dhawan,
687,11/5/2018,Sawai Mansingh Stadium,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,Bat,Group,176,4,177,6,Rajasthan Royals,Wickets,4,Jos Buttler,
688,12/5/2018,Holkar Cricket Stadium,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,Field,Group,245,6,214,8,Kolkata Knight Riders,Runs,31,Sunil Narine,
689,12/5/2018,Feroz Shah Kotla,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,Group,181,4,187,5,Royal Challengers Bangalore,Wickets,5,AB de Villiers,
690,13-05-2018,Maharashtra Cricket Association Stadium,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,Field,Group,179,4,180,2,Chennai Super Kings,Wickets,8,Ambati Rayudu,
691,13-05-2018,Wankhede Stadium,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,Field,Group,168,6,171,3,Rajasthan Royals,Wickets,7,Jos Buttler,
